Index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1202,0.751,0.744,1,-6.859,1,0.177,0.152,0.000568,0.252,0.634,148.014,audio_features,17vGPZ5EsdvtgAOCD4FLWI,spotify:track:17vGPZ5EsdvtgAOCD4FLWI,https://api.spotify.com/v1/tracks/17vGPZ5EsdvtgAOCD4FLWI,https://api.spotify.com/v1/audio-analysis/17vGPZ5EsdvtgAOCD4FLWI,171892,4
1203,0.472,0.716,11,-5.149,0,0.176,0.0824,0,0.193,0.627,141.685,audio_features,2iSPbgHbzUmfAITqStVzOt,spotify:track:2iSPbgHbzUmfAITqStVzOt,https://api.spotify.com/v1/tracks/2iSPbgHbzUmfAITqStVzOt,https://api.spotify.com/v1/audio-analysis/2iSPbgHbzUmfAITqStVzOt,176493,4
1204,0.584,0.66,2,-5.088,1,0.0678,0.0259,0,0.159,0.173,90.054,audio_features,3mnTK0HVzBasVQOxNpTU5W,spotify:track:3mnTK0HVzBasVQOxNpTU5W,https://api.spotify.com/v1/tracks/3mnTK0HVzBasVQOxNpTU5W,https://api.spotify.com/v1/audio-analysis/3mnTK0HVzBasVQOxNpTU5W,174933,4
1205,0.64,0.721,10,-5.464,0,0.179,0.0262,2.32E-05,0.308,0.654,146.941,audio_features,0V4DmTZN3XeN4OjHrgJCxz,spotify:track:0V4DmTZN3XeN4OjHrgJCxz,https://api.spotify.com/v1/tracks/0V4DmTZN3XeN4OjHrgJCxz,https://api.spotify.com/v1/audio-analysis/0V4DmTZN3XeN4OjHrgJCxz,150960,4
1206,0.743,0.893,1,-3.816,1,0.102,0.0454,0,0.0646,0.491,135.94,audio_features,1fGXZPAjsxgy9zTCAAaLHM,spotify:track:1fGXZPAjsxgy9zTCAAaLHM,https://api.spotify.com/v1/tracks/1fGXZPAjsxgy9zTCAAaLHM,https://api.spotify.com/v1/audio-analysis/1fGXZPAjsxgy9zTCAAaLHM,156080,4
1207,0.713,0.844,6,-4.261,0,0.0629,0.0332,0,0.0789,0.842,139.995,audio_features,1VWiWHgwn6kUfPMpU5uWSR,spotify:track:1VWiWHgwn6kUfPMpU5uWSR,https://api.spotify.com/v1/tracks/1VWiWHgwn6kUfPMpU5uWSR,https://api.spotify.com/v1/audio-analysis/1VWiWHgwn6kUfPMpU5uWSR,168640,4
1208,0.773,0.754,4,-6.206,0,0.268,0.107,0,0.246,0.548,100.032,audio_features,7djURrG8mUDSehfhX97G35,spotify:track:7djURrG8mUDSehfhX97G35,https://api.spotify.com/v1/tracks/7djURrG8mUDSehfhX97G35,https://api.spotify.com/v1/audio-analysis/7djURrG8mUDSehfhX97G35,146933,4
1209,0.735,0.776,5,-5.365,0,0.0345,0.0853,0,0.0948,0.616,125.065,audio_features,7eIvQ8IYsIqjCeN8ZvkwA2,spotify:track:7eIvQ8IYsIqjCeN8ZvkwA2,https://api.spotify.com/v1/tracks/7eIvQ8IYsIqjCeN8ZvkwA2,https://api.spotify.com/v1/audio-analysis/7eIvQ8IYsIqjCeN8ZvkwA2,168760,4
1210,0.739,0.667,11,-4.34,0,0.0348,0.208,0,0.185,0.5,125.043,audio_features,0zE3QsZ8CecOXNC47BCd4W,spotify:track:0zE3QsZ8CecOXNC47BCd4W,https://api.spotify.com/v1/tracks/0zE3QsZ8CecOXNC47BCd4W,https://api.spotify.com/v1/audio-analysis/0zE3QsZ8CecOXNC47BCd4W,165253,4
1211,0.216,0.684,7,-10.282,1,0.0473,0.00174,0.93,0.057,0.0908,101.804,audio_features,5ArBY68oLECgcHXDGFxa7u,spotify:track:5ArBY68oLECgcHXDGFxa7u,https://api.spotify.com/v1/tracks/5ArBY68oLECgcHXDGFxa7u,https://api.spotify.com/v1/audio-analysis/5ArBY68oLECgcHXDGFxa7u,274627,3
1212,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,audio_features,7yq4Qj7cqayVTp3FF9CWbm,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/tracks/7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/audio-analysis/7yq4Qj7cqayVTp3FF9CWbm,204280,4
1213,0.622,0.908,2,-6.976,1,0.0636,0.54,0.198,0.121,0.126,123.943,audio_features,1wfB7VM8mtnDzcGJMln8Ls,spotify:track:1wfB7VM8mtnDzcGJMln8Ls,https://api.spotify.com/v1/tracks/1wfB7VM8mtnDzcGJMln8Ls,https://api.spotify.com/v1/audio-analysis/1wfB7VM8mtnDzcGJMln8Ls,205161,4
1214,0.614,0.746,10,-3.527,0,0.196,0.347,1.43E-05,0.0874,0.601,168.072,audio_features,7mcdgAXmb35dakBnfDIv3q,spotify:track:7mcdgAXmb35dakBnfDIv3q,https://api.spotify.com/v1/tracks/7mcdgAXmb35dakBnfDIv3q,https://api.spotify.com/v1/audio-analysis/7mcdgAXmb35dakBnfDIv3q,259250,4
1215,0.557,0.771,1,-5.669,1,0.293,0.163,0,0.478,0.421,89.7,audio_features,6dr5q9GUFI6yvFeLnjHYcp,spotify:track:6dr5q9GUFI6yvFeLnjHYcp,https://api.spotify.com/v1/tracks/6dr5q9GUFI6yvFeLnjHYcp,https://api.spotify.com/v1/audio-analysis/6dr5q9GUFI6yvFeLnjHYcp,193000,4
1216,0.749,0.654,4,-3.346,0,0.0645,0.546,4.43E-06,0.0906,0.475,90.035,audio_features,0zlXXtgXHwwZh20gIY3n7M,spotify:track:0zlXXtgXHwwZh20gIY3n7M,https://api.spotify.com/v1/tracks/0zlXXtgXHwwZh20gIY3n7M,https://api.spotify.com/v1/audio-analysis/0zlXXtgXHwwZh20gIY3n7M,374667,4
